specification,term,prevalence_ratio,confidence_interval_low,confidence_interval_high,p_value
primary_census_preferred_weight,"Hispanic proportion, per 10 percentage points",1.1495702893344375,1.0990633185728678,1.2023982856933515,1.197335455189641e-09
primary_census_preferred_weight,"Non-Hispanic Black proportion, per 10 percentage points",1.0199779899665715,0.922905320448381,1.1272609193658183,0.6982594897446808
primary_census_preferred_weight,"Non-Hispanic AIAN proportion, per 10 percentage points",1.1802181450757738,0.8878557295491228,1.5688527128990428,0.253884083201315
primary_census_preferred_weight,"Below-poverty proportion, per 10 percentage points",0.7446789545362519,0.6203509285714425,0.8939242609118476,0.0015605355532464
primary_census_preferred_weight,"Rural proportion, per 10 percentage points",0.9412053051520608,0.9129191708144452,0.9703678647213336,9.93685282409094e-05
area_weight_census_sensitivity,"Hispanic proportion, per 10 percentage points",1.1456715604655086,1.0946106586297928,1.1991143281050347,5.028665169200842e-09
area_weight_census_sensitivity,"Non-Hispanic Black proportion, per 10 percentage points",1.0172537502833183,0.9222363238539646,1.1220607621928116,0.7324101391477329
area_weight_census_sensitivity,"Non-Hispanic AIAN proportion, per 10 percentage points",1.1561412420577633,0.8685226435429592,1.5390071652412285,0.3201563210854709
area_weight_census_sensitivity,"Below-poverty proportion, per 10 percentage points",0.7578633152971594,0.6353892119104398,0.9039448481447606,0.0020497029966853
area_weight_census_sensitivity,"Rural proportion, per 10 percentage points",0.9420325155631168,0.9161944573773116,0.968599245752379,2.571087626320256e-05
latest_only_census_sensitivity,"Hispanic proportion, per 10 percentage points",1.1499697950827543,1.0990474871309246,1.2032514928494051,1.4751814993613092e-09
latest_only_census_sensitivity,"Non-Hispanic Black proportion, per 10 percentage points",1.0203614155687737,0.9228687764401374,1.1281532596623134,0.6940220874069555
latest_only_census_sensitivity,"Non-Hispanic AIAN proportion, per 10 percentage points",1.2203168754993947,0.892835581268969,1.667914348252198,0.2116768766692331
latest_only_census_sensitivity,"Below-poverty proportion, per 10 percentage points",0.7427644079931681,0.61440321689277,0.8979428339772639,0.0021257410908653
latest_only_census_sensitivity,"Rural proportion, per 10 percentage points",0.94236028551497,0.913846146810513,0.9717641320864404,0.0001524119709717
all_monitored_unweighted_sensitivity,"Hispanic proportion, per 10 percentage points",1.1454321083962782,1.094129318889515,1.1991404418965492,6.32864788731454e-09
all_monitored_unweighted_sensitivity,"Non-Hispanic Black proportion, per 10 percentage points",1.005590597617563,0.9070385298553536,1.11485060086489,0.91563123382467
all_monitored_unweighted_sensitivity,"Non-Hispanic AIAN proportion, per 10 percentage points",1.1667073026814123,0.8850715058335069,1.5379615332302845,0.2740158647509323
all_monitored_unweighted_sensitivity,"Below-poverty proportion, per 10 percentage points",0.7538186712041064,0.6330481816364428,0.8976292887960055,0.001512298821253
all_monitored_unweighted_sensitivity,"Rural proportion, per 10 percentage points",0.9333419190866638,0.9037255494437412,0.9639288592212208,2.7525217207645463e-05
system_sourced_boundary_census_sensitivity,"Hispanic proportion, per 10 percentage points",1.1445772931040965,1.097932575297425,1.193203671486486,2.0010941574864403e-10
system_sourced_boundary_census_sensitivity,"Non-Hispanic Black proportion, per 10 percentage points",1.0490896244188144,0.9314511751618229,1.1815853255775877,0.4296724207644065
system_sourced_boundary_census_sensitivity,"Non-Hispanic AIAN proportion, per 10 percentage points",1.386108807039805,1.0048299350821783,1.912062487266745,0.0466617220615676
system_sourced_boundary_census_sensitivity,"Below-poverty proportion, per 10 percentage points",0.7303103158909211,0.5983234910358463,0.8914126981264441,0.0020000195707213
