term,prevalence_ratio,confidence_interval_low,confidence_interval_high,p_value
"Hispanic proportion, per 10 percentage points",1.1495702893344375,1.0863261404155051,1.216496410198692,1.3790860097188477e-06
"Non-Hispanic Black proportion, per 10 percentage points",1.0199779899665715,0.9349529040190118,1.1127352998682083,0.6560044496939977
"Non-Hispanic AIAN proportion, per 10 percentage points",1.1802181450757738,0.9099073553039696,1.5308315311955845,0.2118183939911071
"Below-poverty proportion, per 10 percentage points",0.7446789545362519,0.6353167188330352,0.8728666016342365,0.000274829266383
"Rural proportion, per 10 percentage points",0.9412053051520608,0.9126528906240672,0.9706509841223782,0.0001156014515153
