outcome,outcome_label,term,log_prevalence_ratio,robust_standard_error,prevalence_ratio,confidence_interval_low,confidence_interval_high,z,p_value,fdr_adjusted_p_value
pfoa_system_above_mcl_comparison,PFOA benchmark comparison,"Hispanic proportion, per 10 percentage points",0.1706037980272276,0.0259777653599087,1.1860207521592634,1.1271444262613162,1.2479724796388334,6.567300753686801,5.1235498993807094e-11,5.123549899380708e-10
pfoa_system_above_mcl_comparison,PFOA benchmark comparison,"Non-Hispanic Black proportion, per 10 percentage points",0.0447279712058263,0.0612966873087142,1.0457433489106602,0.9273599103897832,1.179239192398597,0.7296963860470749,0.4655757906590416,0.5021052428349936
pfoa_system_above_mcl_comparison,PFOA benchmark comparison,"Non-Hispanic AIAN proportion, per 10 percentage points",0.196844525943992,0.2473062232341698,1.217554727817723,0.7498548146969287,1.976968722712612,0.795954599806425,0.4260584240830674,0.5021052428349936
pfoa_system_above_mcl_comparison,PFOA benchmark comparison,"Below-poverty proportion, per 10 percentage points",-0.4510856753840785,0.1154688981620688,0.6369362700807005,0.5079335150869493,0.7987025862525894,-3.906555640211855,9.36210930395814e-05,0.0003120703101319
pfoa_system_above_mcl_comparison,PFOA benchmark comparison,"Rural proportion, per 10 percentage points",-0.0528843838444105,0.0188499784807795,0.9484896668721666,0.9140862544668558,0.9841879185547844,-2.8055408072923953,0.0050232220399306,0.0083720367332176
pfos_system_above_mcl_comparison,PFOS benchmark comparison,"Hispanic proportion, per 10 percentage points",0.1406374017204996,0.0240477888236099,1.1510072190724867,1.098014705106165,1.20655726393836,5.84824670376442,4.9678139426301215e-09,2.48390697131506e-08
pfos_system_above_mcl_comparison,PFOS benchmark comparison,"Non-Hispanic Black proportion, per 10 percentage points",0.0382317197997082,0.0569618640218568,1.0389719553607366,0.9292164882453235,1.1616913148673296,0.6711809814552133,0.5021052428349936,0.5021052428349936
pfos_system_above_mcl_comparison,PFOS benchmark comparison,"Non-Hispanic AIAN proportion, per 10 percentage points",0.2632981479280114,0.1607039702118683,1.301214615565094,0.9496311492895336,1.7829653934866734,1.6384047486871995,0.1013372892167623,0.1447675560239462
pfos_system_above_mcl_comparison,PFOS benchmark comparison,"Below-poverty proportion, per 10 percentage points",-0.2985017885153939,0.1001099549838639,0.7419289548975616,0.6097432571793093,0.9027710723064424,-2.9817393141721755,0.0028661593869373,0.0057323187738747
pfos_system_above_mcl_comparison,PFOS benchmark comparison,"Rural proportion, per 10 percentage points",-0.071416078862057,0.0193438238450283,0.9310744111403804,0.8964345689494466,0.9670527990641266,-3.691931824555564,0.0002225571297835,0.0005563928244589
